cell,carrier_key,carrier_name,ac_type,seats_band,range_band,n_flights,n_tails,n_active_days,n_flights_with_number,first_date,last_date,s1,s1_den_flights,n_keys,s2,s2_n_days,avg_departures,s2_note,s3,s4,s4_entropy_norm,n_pairs,n_singletons,s1_imputed,label,low_confidence,pc1,pc2
AHY::A20N,AHY,Azerbaijan Airlines,A20N,180-239,short,685,1,204,684,2025-09-12,2026-04-22,0.8932748538011696,684,81.0,0.007957006030470892,223,3.071748878923767,ok,0.9147982062780269,0.9333333333333333,0.7897197812009721,30.0,2.0,False,fsc,False,1.332379251388673,-1.047633410289928
AHY::A319,AHY,Azerbaijan Airlines,A319,100-179,short,11773,3,1412,11750,2022-06-01,2026-04-22,0.9680715197956578,11745,460.0,0.013183034278087535,1422,8.279184247538678,ok,0.7827004219409283,0.9381443298969072,0.7480578613350727,97.0,6.0,False,fsc,False,1.261253740324609,-0.969933945674606
AHY::A320,AHY,Azerbaijan Airlines,A320,180-239,short,30641,11,1424,30605,2022-05-31,2026-04-23,0.9887791154148129,30568,556.0,0.02488810797273766,1424,21.51755617977528,ok,0.8311688311688312,0.8230088495575221,0.7094933468108283,113.0,20.0,False,fsc,False,1.1859804587743972,-0.7881701673170793
AHY::B763,AHY,Azerbaijan Airlines,B763,180-239,short,6082,3,1365,6065,2022-06-01,2026-04-22,0.9557682785938274,6059,247.0,0.021252815327582053,1422,4.277074542897328,ok,0.6751054852320675,0.9056603773584906,0.5817636778345266,53.0,5.0,False,fsc,False,1.0493025696619422,-0.8258509900948529
AHY::B788,AHY,Azerbaijan Airlines,B788,180-239,short,6842,2,1343,6838,2022-06-02,2026-04-22,0.9742577153722393,6837,140.0,0.08510872057886998,1421,4.814919071076707,ok,0.7586206896551724,0.972972972972973,0.5051534216486913,37.0,1.0,False,fsc,False,1.4631969904393904,-0.5390341558535762
AHY::E190,AHY,Azerbaijan Airlines,E190,100-179,regional,19698,5,907,19684,2023-10-29,2026-04-22,0.9893795416433762,19679,310.0,0.05292398700707546,907,21.717750826901874,ok,0.7420066152149944,0.8857142857142857,0.5446595795274021,70.0,8.0,False,fsc,False,1.2316134539054129,-0.6384453568035934
AIRBUS FLIGHT ACADEMY EUROPE::SR20,AIRBUS FLIGHT ACADEMY EUROPE,Airbus Flight Academy Europe,SR20,NA,regional,2,2,2,2,2023-07-26,2025-03-27,0.0,1,1.0,0.0,611,0.0032733224222585926,ok,0.0016366612111292963,,,,,True,,True,,
AIRBUS FLIGHT ACADEMY EUROPE::SR22,AIRBUS FLIGHT ACADEMY EUROPE,Airbus Flight Academy Europe,SR22,NA,regional,34,7,27,34,2022-07-04,2025-07-15,0.0,5,3.0,0.004710431990203712,1108,0.030685920577617327,ok,0.0009025270758122744,,,,,True,,True,,
AIR KG::B350,AIR KG,Air KG,B350,NA,regional,1,1,1,1,2024-03-28,2024-03-28,0.0,,,,1,1.0,short_series,1.0,,,,,True,,True,,
AIRONE GMBH::C68A,AIRONE GMBH,Airone GmbH,C68A,NA,short,1,1,1,0,2024-11-03,2024-11-03,0.0,,,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
AIR PEACE HOPPER::E145,AIR PEACE HOPPER,Air Peace Hopper,E145,20-99,regional,355,1,165,225,2022-06-17,2026-02-20,0.49122807017543857,171,69.0,0.004157791096910501,1345,0.26394052044609667,ok,0.12267657992565056,0.75,0.8196861353536218,28.0,7.0,False,,False,-0.6998232331861516,-0.3977987362647797
AIZ::A21N,AIZ,Arkia,A21N,180-239,short,4,2,2,4,2022-06-13,2023-06-15,0.0,4,4.0,0.0,368,0.010869565217391304,ok,0.002717391304347826,1.0,1.0,2.0,0.0,True,,True,-1.1129281106568696,-0.5641788755457479
AIZ::E195,AIZ,Arkia,E195,100-179,short,10,2,6,10,2022-06-07,2023-04-04,0.0,10,8.0,0.0108077202881659,302,0.033112582781456956,ok,0.009933774834437087,1.0,0.9609640474436812,4.0,0.0,True,,True,-1.0771650782172433,-0.4984076564500258
AJK::B738,AJK,Allied Air Cargo,B738,NA,regional,4,1,4,4,2023-07-08,2025-05-12,0.0,4,4.0,0.0,675,0.005925925925925926,ok,0.005925925925925926,0.0,1.0,4.0,4.0,True,,True,-2.858189361059898,0.5996802275027617
AKJ::B38M,AKJ,Akasa Air,B38M,180-239,short,157894,37,1341,157387,2022-06-17,2026-03-29,0.9878254450108508,157131,1718.0,0.05225004644702935,1382,114.25036179450072,ok,0.948905109489051,0.7546296296296297,0.7281534350120514,216.0,53.0,False,lcc,False,1.300952647199413,-0.5900078606485903
AKT::B737,AKT,Canadian North,B737,100-179,short,4,3,4,4,2023-12-28,2025-03-05,0.0,4,4.0,0.0,434,0.009216589861751152,ok,0.002304147465437788,0.0,1.0,4.0,4.0,True,,True,-2.8634830583870237,0.6014361060326318
ALAMAN AIR::CRJ2,ALAMAN AIR,Alaman Air,CRJ2,NA,short,16,1,15,14,2022-06-17,2023-12-05,0.7857142857142857,14,3.0,0.04461557542728023,537,0.0297951582867784,ok,0.027932960893854747,0.6666666666666667,0.5970948432879916,3.0,1.0,False,,True,-0.49074679017279865,-0.051473444716461765
ALASKA AIR TRANSIT::PC12,ALASKA AIR TRANSIT,Alaska Air Transit,PC12,NA,regional,72,1,30,72,2022-06-10,2022-12-07,0.0,67,63.0,0.0,181,0.39779005524861877,ok,0.16574585635359115,0.26086956521739135,0.9415668975108638,46.0,34.0,True,,True,-2.1680829358906872,0.21817653598615283
ALEX JETS SAN MARINO SRL::CL60,ALEX JETS SAN MARINO SRL,Alex Jets San Marino SRL,CL60,NA,short,266,1,168,0,2025-01-02,2026-02-09,0.0,,,0.0025590489580268327,404,0.6584158415841584,ok,0.4158415841584158,0.4227642276422764,0.9298686186957843,123.0,71.0,True,,False,-1.513257504239497,-0.07534538286230849
ALEX JETS SAN MARINO SRL::GL7T,ALEX JETS SAN MARINO SRL,Alex Jets San Marino SRL,GL7T,NA,short,34,1,20,0,2025-10-31,2026-02-09,0.0,,,0.0,102,0.3333333333333333,ok,0.19607843137254902,0.35,0.9280328183952423,20.0,13.0,True,,True,-1.9677740690878454,0.0995970525914817
ALEX JETS SAN MARINO SRL::GLEX,ALEX JETS SAN MARINO SRL,Alex Jets San Marino SRL,GLEX,NA,medium,129,1,88,0,2025-06-24,2026-02-10,0.0,,,0.009840833719175102,232,0.5560344827586207,ok,0.3793103448275862,0.24444444444444446,0.9719949931198395,90.0,68.0,True,,True,-1.8617144643330121,0.19685291665935062
ALEX JETS SAN MARINO SRL::GLF5,ALEX JETS SAN MARINO SRL,Alex Jets San Marino SRL,GLF5,NA,short,105,1,70,0,2025-07-12,2026-02-10,0.0,,,0.00924768969100187,214,0.49065420560747663,ok,0.32710280373831774,0.29850746268656714,0.9552310922515902,67.0,47.0,True,,True,-1.844798760653447,0.15535624975452805
ALIDAUNIA::A169,ALIDAUNIA,Alidaunia,A169,NA,regional,6,1,1,0,2026-01-12,2026-01-12,0.0,,,,1,6.0,short_series,1.0,,,,,True,,True,,
ALPINE AIR ALASKA::R44,ALPINE AIR ALASKA,Alpine Air Alaska,R44,NA,regional,1,1,1,1,2024-07-20,2024-07-20,0.0,1,1.0,,1,1.0,short_series,1.0,,,,,True,,True,,
ALW::E145,ALW,Fly ALS,E145,20-99,regional,1,1,1,1,2025-06-15,2025-06-15,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
AMC AVIATION::A320,AMC AVIATION,AMC Aviation,A320,NA,short,265,2,114,213,2023-01-03,2026-03-29,0.6995305164319249,213,77.0,0.04070655356787689,1182,0.22419627749576987,ok,0.05414551607445008,0.515625,0.8222436328298031,64.0,31.0,False,,False,-0.8426382201909054,0.1031884557297169
AMC AVIATION::A321,AMC AVIATION,AMC Aviation,A321,NA,short,82,1,48,70,2023-06-03,2026-01-12,0.7142857142857143,70,20.0,0.1128962869395923,955,0.08586387434554973,ok,0.050261780104712044,0.4444444444444444,0.5329433495670137,18.0,10.0,False,,True,-0.7844607726064434,0.6479036295776582
AME::CL2T,AME,Spanish Air Force,CL2T,lt20,regional,1,1,1,1,2025-02-24,2025-02-24,0.0,,,,1,1.0,short_series,1.0,,,,,True,,True,,
APEX AVIATION LLC::PC12,APEX AVIATION LLC,Apex Aviation LLC,PC12,NA,regional,190,1,98,181,2022-06-02,2023-01-21,0.09497206703910614,179,133.0,0.0,234,0.811965811965812,ok,0.4188034188034188,0.7,0.9235962313728633,60.0,18.0,False,,True,-0.9010739032152489,-0.43434766736116776
APJ::A20N,APJ,Peach Aviation,A20N,180-239,regional,1,1,1,0,2022-10-23,2022-10-23,0.0,,,,1,1.0,short_series,1.0,,,,,True,,True,,
APK::B733,APK,Air Peace,B733,100-179,regional,609,2,289,540,2022-07-08,2026-02-26,0.5668662674650699,501,162.0,0.0,1330,0.45789473684210524,ok,0.10864661654135338,0.7380952380952381,0.7198201332870369,42.0,11.0,False,,False,-0.6483822151626812,-0.4181628016600911
APK::B737,APK,Air Peace,B737,100-179,regional,542,1,88,541,2025-11-27,2026-02-26,0.8288973384030418,526,75.0,0.011604476056529034,92,5.891304347826087,ok,0.9565217391304348,1.0,0.7363467668505363,17.0,0.0,False,,False,1.4313128871248126,-1.109929151596943
APK::B772,APK,Air Peace,B772,ge240,medium,1649,2,735,1637,2022-09-07,2026-02-26,0.8853068815871048,1613,167.0,0.009444157477188742,1269,1.2994483845547675,ok,0.41712357391917265,0.725,0.5665893616072828,40.0,11.0,False,,False,0.23306432955775822,-0.5525128656012773
APK::B773,APK,Air Peace,B773,ge240,medium,1274,1,675,1266,2022-06-25,2026-02-21,0.7951417004048583,1235,242.0,0.017258774155971324,1338,0.9521674140508222,ok,0.5044843049327354,0.725,0.5638347696281789,40.0,11.0,False,,False,0.2568222956995529,-0.5276247328761569
APK::E190,APK,Air Peace,E190,20-99,regional,388,2,74,388,2025-08-06,2026-02-26,0.7081081081081081,370,79.0,0.0,205,1.8926829268292682,ok,0.21260162601626015,0.7777777777777778,0.7704280234077804,27.0,6.0,False,,False,-0.235629952105787,-0.5416816109917632
APK::E195,APK,Air Peace,E195,100-179,regional,301,1,144,107,2025-08-16,2026-02-26,0.4819277108433735,83,38.0,0.0004581715332265812,195,1.5435897435897437,ok,0.7384615384615385,0.6875,0.6869823643948583,16.0,5.0,False,,False,0.06962171032448303,-0.6454421068080926
APK::E295,APK,Air Peace,E295,100-179,regional,9459,3,869,9434,2022-06-01,2026-02-26,0.9745016226240149,8628,326.0,0.034280582220787226,1367,6.91953182150695,ok,0.42355523043160204,0.8548387096774194,0.7602146241667106,62.0,9.0,False,,False,0.6484703306961509,-0.5647339233170815
ARE::A320,ARE,LATAM Airlines Colombia,A320,180-239,short,12291,18,126,12289,2024-04-07,2024-08-10,0.8791602245910978,12289,2042.0,0.06461701490228422,126,97.54761904761905,ok,0.907805517028818,0.9506172839506173,0.7600148305665433,81.0,4.0,False,fsc,False,1.4654736837386955,-0.6985503299739408
ARKLA AVIATION LLC::BE58,ARKLA AVIATION LLC,Arkla Aviation LLC,BE58,NA,regional,2,1,1,2,2023-02-10,2023-02-10,0.0,2,2.0,,1,2.0,short_series,1.0,0.0,1.0,2.0,2.0,True,,True,,
ASL::A319,ASL,Air Serbia,A319,100-179,regional,1,1,1,1,2026-01-12,2026-01-12,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
ASV::A321,ASV,Air Seoul,A321,180-239,short,3,2,3,3,2023-04-19,2023-04-23,0.0,3,3.0,,5,0.6,short_series,0.30000000000000004,0.0,1.0,2.0,2.0,True,,True,,
ATC::B39M,ATC,Air Tanzania,B39M,180-239,short,5631,2,845,5625,2023-09-30,2026-02-26,0.9677304332323052,5609,197.0,0.16146512881280828,881,6.391600454029512,ok,0.8658188666280282,0.6363636363636364,0.6175591706632265,66.0,24.0,False,,False,1.2001336252531087,0.29191663108421106
ATC::B763,ATC,Air Tanzania,B763,NA,medium,521,1,340,519,2023-06-01,2026-02-20,0.6365461847389559,498,173.0,0.05181655780381855,996,0.5230923694779116,ok,0.3413654618473896,0.6938775510204082,0.7927016244555795,49.0,15.0,False,,False,-0.17031167999689822,-0.16060604199801107
ATC::B788,ATC,Air Tanzania,B788,ge240,medium,3041,3,1146,3038,2022-06-01,2026-02-26,0.9516556291390729,3020,136.0,0.30203563282865387,1367,2.22457937088515,ok,0.4879297732260424,0.6363636363636364,0.5223337030115811,55.0,20.0,False,,False,0.9539836659166727,1.3791369530389928
ATC::BCS3,ATC,Air Tanzania,BCS3,100-179,short,13929,4,1337,13836,2022-06-01,2026-02-26,0.987455586977014,13791,225.0,0.1945700557468074,1367,10.189465983906365,ok,0.5047549378200439,0.7230769230769231,0.6573099952447045,65.0,18.0,False,,False,0.9280979729473916,0.5743335090729579
ATC::DH8C,ATC,Air Tanzania,DH8C,20-99,regional,225,1,108,222,2024-07-24,2026-02-11,0.9481132075471698,212,21.0,0.0573233616266724,568,0.3961267605633803,ok,0.19014084507042253,0.6666666666666667,0.6733029075683138,9.0,3.0,False,,False,-0.003979187523040042,-0.07956490297297973
ATC::DH8D,ATC,Air Tanzania,DH8D,20-99,regional,40184,5,1368,39966,2022-05-31,2026-02-26,0.9856624502343395,39686,583.0,0.05236046718495446,1368,29.374269005847953,ok,0.8669590643274854,0.7681159420289855,0.62450991257263,69.0,16.0,False,,False,1.2021053135670108,-0.5648773864839945
ATG::B744,ATG,Aerotranscargo,B744,NA,long,5,1,4,5,2024-07-08,2025-10-18,0.0,5,5.0,0.0,468,0.010683760683760684,ok,0.008547008547008548,1.0,0.0,1.0,0.0,True,,True,-1.1044073715911564,-0.5670051389037692
ATN::B763,ATN,Air Transport International,B763,NA,short,2,2,2,2,2024-05-25,2025-02-03,0.0,2,2.0,0.0,255,0.00784313725490196,ok,0.00392156862745098,0.0,1.0,2.0,2.0,True,,True,-2.861118988310514,0.6006519622416409
AV8JET CHARTER::C25A,AV8JET CHARTER,AV8JET Charter,C25A,NA,short,915,2,461,882,2023-08-10,2026-04-30,0.0,879,875.0,0.006104969798278126,995,0.9195979899497487,ok,0.25979899497487435,0.34078212290502796,0.9596010008660018,537.0,354.0,True,,False,-1.8765256346580583,0.11857577810003911
AVA::A20N,AVA,Avianca,A20N,180-239,short,85419,27,1367,85394,2022-05-31,2026-02-26,0.985103293202792,85388,2138.0,0.0,1368,62.44078947368421,ok,0.9039900249376559,0.8318965517241379,0.7629891074437759,232.0,39.0,False,fsc,False,1.2449246521640343,-0.9926482391579955
AVA::A319,AVA,Avianca,A319,100-179,regional,36768,7,1368,36747,2022-05-31,2026-02-26,0.9687006695335039,36742,1554.0,0.0,1368,26.87719298245614,ok,0.8589181286549707,0.8657718120805369,0.7478997736991274,149.0,20.0,False,fsc,False,1.216102667925948,-1.0071547293995822
AVA::A320,AVA,Avianca,A320,180-239,short,407155,61,1368,407003,2022-05-31,2026-02-26,0.993419468348085,406958,3664.0,0.014096691171317954,1368,297.6279239766082,ok,0.9407894736842105,0.8007518796992481,0.6773501802595903,266.0,53.0,False,fsc,False,1.2883664054952129,-0.8854250912268626
AVA::A333,AVA,Avianca,A333,ge240,medium,701,1,355,701,2025-03-02,2026-02-26,0.9614835948644793,701,7.0,0.0,362,1.9364640883977902,ok,0.9806629834254144,0.6666666666666667,0.6312608649561164,3.0,1.0,False,fsc,False,1.0358459849626243,-0.8327647695093069
AVA::B788,AVA,Avianca,B788,ge240,medium,27218,14,1367,27100,2022-06-01,2026-02-26,0.991032217588663,27097,242.0,0.06166863966637315,1367,19.910753474762252,ok,0.8522311631309436,0.5555555555555556,0.5474478490736798,54.0,24.0,False,fsc,False,0.8376005171090372,-0.25137907257410913
AVCON JET AUSTRIA::C25A,AVCON JET AUSTRIA,Avcon Jet Austria,C25A,NA,short,103,1,60,1,2025-09-21,2026-04-13,0.0,1,1.0,0.023058819164624045,205,0.5024390243902439,ok,0.2926829268292683,0.368421052631579,0.941985740642505,57.0,36.0,True,,True,-1.740539936008574,0.1790845878688871
AVCON JET AUSTRIA::C25C,AVCON JET AUSTRIA,Avcon Jet Austria,C25C,NA,regional,1217,1,668,2,2022-06-01,2026-04-30,0.0,2,2.0,0.09844930416398412,1430,0.8510489510489511,ok,0.4671328671328671,0.32558139534883723,0.7996950762345778,344.0,232.0,True,,False,-1.384633514517458,0.6276346800138369
AVCON JET AUSTRIA::C750,AVCON JET AUSTRIA,Avcon Jet Austria,C750,NA,short,217,1,101,0,2022-07-14,2023-05-13,0.0,,,0.0021625454459662796,304,0.7138157894736842,ok,0.33223684210526316,0.11827956989247312,0.9887095255584923,186.0,164.0,True,,False,-2.1692149303748414,0.3174966982219208
AVCON JET AUSTRIA::CL35,AVCON JET AUSTRIA,Avcon Jet Austria,CL35,NA,regional,5,1,4,0,2025-12-05,2025-12-09,0.0,,,,5,1.0,short_series,0.8,0.25,0.9609640474436812,4.0,3.0,True,,True,,
AVCON JET AUSTRIA::E35L,AVCON JET AUSTRIA,Avcon Jet Austria,E35L,NA,short,249,2,123,0,2024-10-10,2026-02-10,0.0,,,0.0,489,0.50920245398773,ok,0.14621676891615543,0.33870967741935487,0.9257713500338056,124.0,82.0,True,,False,-2.060410843876517,0.13692844899594483
AVCON JET AUSTRIA::GLEX,AVCON JET AUSTRIA,Avcon Jet Austria,GLEX,NA,short,63,2,48,0,2022-06-23,2024-09-08,0.0,,,0.0035763005119358038,809,0.07787391841779975,ok,0.029666254635352288,0.25,0.9401215713970354,44.0,33.0,True,,True,-2.3776582462600953,0.31973853602549174
AVCON JET AUSTRIA::LJ75,AVCON JET AUSTRIA,Avcon Jet Austria,LJ75,NA,short,4,1,3,0,2025-02-07,2025-02-12,0.0,,,,6,0.6666666666666666,short_series,0.5,1.0,1.0,2.0,0.0,True,,True,,
AVCON JET::E35L,AVCON JET,Avcon Jet,E35L,NA,short,2,1,2,2,2022-10-09,2022-10-10,0.0,2,2.0,,2,1.0,short_series,1.0,1.0,0.0,1.0,0.0,True,,True,,
AVCON JET::GALX,AVCON JET,Avcon Jet,GALX,NA,short,41,1,21,0,2022-06-02,2023-01-16,0.0,,,0.003870014451112236,229,0.17903930131004367,ok,0.09170305676855896,0.34782608695652173,0.9325547549365073,23.0,15.0,True,,True,-2.1151073288756033,0.1775369474546308
AVCON JET::GL5T,AVCON JET,Avcon Jet,GL5T,NA,short,58,1,44,2,2024-02-09,2024-08-10,0.0,2,1.0,0.0,184,0.31521739130434784,ok,0.2391304347826087,0.36,0.8353017223590018,25.0,16.0,True,,True,-1.8873484923401649,0.06707081554634706
AVCON JET::GL7T,AVCON JET,Avcon Jet,GL7T,NA,short,4,1,2,0,2025-03-15,2025-03-18,0.0,,,,4,1.0,short_series,0.5,1.0,1.0,2.0,0.0,True,,True,,
AVCON JET::H25B,AVCON JET,Avcon Jet,H25B,NA,regional,8,1,5,0,2025-07-08,2025-07-15,0.0,,,,8,1.0,short_series,0.625,1.0,0.946394630357186,3.0,0.0,True,,True,,
AVCON JET::LJ31,AVCON JET,Avcon Jet,LJ31,NA,regional,199,1,109,49,2023-03-11,2025-02-21,0.24489795918367346,49,30.0,0.00041064171190019483,714,0.27871148459383754,ok,0.15266106442577032,0.47887323943661975,0.8856732296747882,71.0,37.0,False,,True,-1.4729463199821369,-0.0735085438565377
AVCON JET MALTA::C25M,AVCON JET MALTA,Avcon Jet Malta,C25M,NA,regional,226,1,101,0,2025-05-26,2026-04-30,0.0,,,0.010844413598255276,340,0.6647058823529411,ok,0.29705882352941176,0.41747572815533984,0.9397398162920036,103.0,60.0,True,,False,-1.6767979967379503,0.041508412981644996
AVCON JET MALTA::C56X,AVCON JET MALTA,Avcon Jet Malta,C56X,NA,regional,1185,1,568,1,2022-06-04,2026-04-29,0.0,1,1.0,0.0125006572532802,1426,0.8309957924263675,ok,0.39831697054698456,0.3982808022922636,0.8132371031168639,349.0,210.0,True,,False,-1.5585221449229152,0.025402727391608915
AVCON JET MALTA::F2TH,AVCON JET MALTA,Avcon Jet Malta,F2TH,NA,short,94,1,43,1,2022-06-04,2022-08-30,0.0,1,1.0,0.016889089353763986,88,1.0681818181818181,ok,0.48863636363636365,0.14925373134328357,0.9388581577886742,67.0,57.0,True,,True,-1.852055239533712,0.29996140251669196
AVCON JET MALTA::GL5T,AVCON JET MALTA,Avcon Jet Malta,GL5T,NA,short,253,1,180,0,2024-04-19,2025-09-23,0.0,,,0.0,523,0.4837476099426386,ok,0.3441682600382409,0.1785714285714286,0.9767766095414752,196.0,161.0,True,,False,-2.0513132336475604,0.227586820755638
AVCON JET MALTA::GLEX,AVCON JET MALTA,Avcon Jet Malta,GLEX,NA,short,21,2,14,14,2022-07-22,2023-08-24,0.0,14,14.0,0.0,399,0.05263157894736842,ok,0.017543859649122806,0.16666666666666663,0.9848146275158577,18.0,15.0,True,,True,-2.549549759588901,0.39981195112889356
AVCON JET MIDDLE EAST::GL7T,AVCON JET MIDDLE EAST,Avcon Jet Middle East,GL7T,NA,short,401,1,236,0,2024-02-27,2026-04-28,0.0,,,0.0010477167887197325,792,0.5063131313131313,ok,0.29797979797979796,0.4022988505747126,0.911753494140422,174.0,104.0,True,,False,-1.7248672138554286,-0.004040591006629768
AVCON JET NORTH AMERICA::C525,AVCON JET NORTH AMERICA,Avcon Jet North America,C525,NA,regional,365,1,164,0,2023-05-16,2026-02-28,0.0,,,0.006817083262228629,1020,0.35784313725490197,ok,0.1607843137254902,0.2425373134328358,0.9831219386656919,268.0,203.0,True,,False,-2.191510562377295,0.2856392780596196
AVINCIS AVIATION ITALY::CL2T,AVINCIS AVIATION ITALY,Avincis Aviation Italy,CL2T,NA,regional,37,2,18,37,2024-06-09,2024-07-10,0.34615384615384615,26,12.0,,32,1.15625,short_series,0.296875,0.4285714285714286,0.8300072595050233,7.0,4.0,False,,True,,
AVJ::A320,AVJ,Avia Traffic Company,A320,180-239,regional,1,1,1,1,2023-10-06,2023-10-06,0.0,,,,1,1.0,short_series,1.0,,,,,True,,True,,
AVJ::B733,AVJ,Avia Traffic Company,B733,100-179,regional,1,1,1,1,2023-05-02,2023-05-02,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
AVR::A320,AVR,Avianca Express,A320,180-239,regional,3277,2,383,3275,2024-12-26,2026-02-26,0.776114844227245,3274,583.0,0.00193973177485951,428,7.656542056074766,ok,0.9089683680805176,0.9090909090909091,0.7227261982607573,55.0,5.0,False,,False,1.10865827576602,-1.0328293385393188
AWC::A21N,AWC,Titan Airways,A21N,180-239,medium,12,1,12,12,2025-06-16,2025-08-05,1.0,12,2.0,0.46148778585770767,51,0.23529411764705882,ok,0.23529411764705882,1.0,0.0,1.0,0.0,False,,True,1.6585865324546,2.090606979095099
AWK::B734,AWK,Airwork,B734,NA,regional,807,2,181,806,2022-06-01,2023-06-29,0.9727047146401985,806,32.0,0.4058488111558832,394,2.048223350253807,ok,0.2436548223350254,1.0,0.7409502215886911,3.0,0.0,False,,False,1.5040142947743864,1.7351407407196913
AXE::B738,AXE,AirExplore,B738,NA,short,90,1,32,88,2025-11-30,2026-01-30,0.7613636363636364,88,15.0,0.12188658931297403,62,1.4516129032258065,ok,0.5161290322580645,0.6666666666666667,0.7284185754998905,6.0,2.0,False,,True,0.37010262336370375,0.21172904174336374
AXV::A310,AXV,AVA Airlines (Iran),A310,180-239,short,1,1,1,1,2024-08-12,2024-08-12,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
AXV::B735,AXV,AVA Airlines (Iran),B735,100-179,regional,10,2,8,10,2024-02-06,2025-09-01,0.0,5,5.0,0.0,574,0.017421602787456445,ok,0.007939630087545115,1.0,0.9709505944546688,2.0,0.0,True,,True,-1.1052951337120294,-0.5667106750628381
AYG::B738,AYG,Ascend Airways Malaysia,B738,NA,short,56,1,32,53,2025-10-07,2026-02-26,0.3673469387755102,49,24.0,0.0,143,0.3916083916083916,ok,0.22377622377622378,1.0,0.7725525635979479,4.0,0.0,False,,True,-0.29211015576617355,-0.7412446312724632
AZERBAIJAN AIRLINES::GLF4,AZERBAIJAN AIRLINES,Azerbaijan Airlines,GLF4,NA,regional,8,1,8,8,2025-06-05,2025-09-21,0.625,8,4.0,0.0,109,0.07339449541284404,ok,0.07339449541284404,0.0,1.0,2.0,2.0,False,,True,-1.9127738303111295,0.4480538862764903
AZERBAIJAN AIRLINES::GLF6,AZERBAIJAN AIRLINES,Azerbaijan Airlines,GLF6,NA,medium,447,1,309,439,2022-06-05,2025-08-06,0.23394495412844038,436,277.0,0.0,1159,0.3856773080241588,ok,0.26660914581535805,0.41007194244604317,0.8322730759797738,139.0,82.0,False,,False,-1.442593462404524,-0.0491177309363671
AZG::B744,AZG,Silk Way West Airlines,B744,NA,medium,8378,3,1419,8369,2022-06-01,2026-04-22,0.7761229882296421,8326,1869.0,0.006499702263136009,1422,5.891701828410689,ok,0.8375527426160337,0.5080128205128205,0.6760271832643237,624.0,307.0,False,,False,0.31305797484491443,-0.5015593543560566
AZG::B748,AZG,Silk Way West Airlines,B748,NA,long,12460,5,1420,12451,2022-06-01,2026-04-22,0.8825904392764858,12384,1519.0,0.0076498751626737915,1422,8.762306610407876,ok,0.8248945147679325,0.5360576923076923,0.6214619053419417,416.0,193.0,False,,False,0.49056781728646853,-0.5409918525456151
AZG::B77L,AZG,Silk Way West Airlines,B77L,NA,medium,5549,4,915,5548,2023-10-17,2026-04-22,0.866871387283237,5536,805.0,0.011968391839171755,919,6.038084874863983,ok,0.9646038413847206,0.5846153846153845,0.6839372158768419,195.0,81.0,False,,False,0.7685226442122082,-0.634644898345958
AZG::NA,AZG,Silk Way West Airlines,NA,NA,medium,154,1,96,153,2022-06-01,2022-11-08,0.07894736842105263,152,119.0,0.0,161,0.9565217391304348,ok,0.5962732919254659,0.3571428571428571,0.8227846543786344,56.0,36.0,False,,True,-1.2633735069698266,-0.11776733558101607
AZQ::IL76,AZQ,Silk Way Airlines,IL76,NA,short,2048,2,1025,2035,2022-06-02,2026-04-22,0.4601259181532004,1906,961.0,0.019076538574013924,1421,1.4412385643912737,ok,0.4725545390570021,0.4050343249427918,0.7779974633547853,437.0,260.0,False,,False,-0.7994373992958085,-0.06385914623846126
AZW::AT45,AZW,Air Zimbabwe,AT45,20-99,regional,222,1,79,222,2025-09-08,2026-02-24,0.8260869565217391,207,25.0,0.10012348071203514,170,1.3058823529411765,ok,0.4647058823529412,0.8333333333333334,0.6457927900835543,6.0,1.0,False,,False,0.6235167873397713,-0.10937697371213209
AZW::E145,AZW,Air Zimbabwe,E145,20-99,regional,503,1,292,429,2024-08-02,2025-12-20,0.8954081632653061,392,44.0,0.046450933389701965,506,0.9940711462450593,ok,0.5770750988142292,1.0,0.5786910536640583,9.0,0.0,False,,False,1.0481167531534188,-0.7152829910401117
BAW::A20N,BAW,British Airways,A20N,180-239,short,1708,17,28,1708,2022-06-01,2022-06-28,0.6053864168618267,1708,451.0,,28,61.0,short_series,1.0,0.984375,0.9229076607139364,64.0,1.0,False,fsc,True,,
BAW::A21N,BAW,British Airways,A21N,180-239,short,792,10,28,792,2022-06-01,2022-06-28,0.4532828282828283,792,283.0,,28,28.285714285714285,short_series,0.875,0.9807692307692307,0.8967028241303987,52.0,1.0,False,fsc,True,,
BAW::A319,BAW,British Airways,A319,100-179,regional,1978,21,28,1977,2022-06-01,2022-06-28,0.5604451188669701,1977,468.0,,28,70.64285714285714,short_series,0.8928571428571429,1.0,0.9001848543452743,51.0,0.0,False,fsc,True,,
BAW::A320,BAW,British Airways,A320,180-239,short,4703,43,28,4699,2022-06-01,2022-06-28,0.7739944669078528,4699,698.0,,28,167.96428571428572,short_series,0.9642857142857143,0.9782608695652174,0.9285858853925887,92.0,2.0,False,fsc,True,,
