cell,carrier_key,carrier_name,ac_type,seats_band,range_band,n_flights,n_tails,n_active_days,n_flights_with_number,first_date,last_date,s1,s1_den_flights,n_keys,s2,s2_n_days,avg_departures,s2_note,s3,s4,s4_entropy_norm,n_pairs,n_singletons,s1_imputed,label,low_confidence,pc1,pc2
UZBEKISTAN HELICOPTERS LLC::EC30,UZBEKISTAN HELICOPTERS LLC,Uzbekistan Helicopters LLC,EC30,NA,regional,1240,2,471,880,2022-06-10,2026-03-28,0.7416879795396419,391,74.0,0.005393506665214098,1388,0.8933717579250721,ok,0.21253602305475505,0.7878787878787878,0.7571136346086865,33.0,7.0,False,,False,-0.15996926857698054,-0.525242267141052
VIETSTAR AIRLINES::B350,VIETSTAR AIRLINES,Vietstar Airlines,B350,NA,short,4,1,4,4,2024-05-15,2025-05-15,0.0,1,1.0,0.0,366,0.01092896174863388,ok,0.01092896174863388,0.0,0.0,1.0,1.0,True,,True,-2.8508767775733266,0.5972547000219672
VISTAJET::A189,VISTAJET,VistaJet,A189,NA,regional,104,1,55,0,2025-01-01,2025-12-28,0.0,,,0.00044355228762416044,362,0.287292817679558,ok,0.15193370165745856,0.2571428571428571,0.8731572493668928,35.0,26.0,True,business_fractional,True,-2.1937578952430092,0.23205883730569551
VISTAJET::BE20,VISTAJET,VistaJet,BE20,NA,short,213,1,133,211,2025-01-14,2025-12-04,0.24285714285714285,210,136.0,0.008832976793941683,325,0.6553846153846153,ok,0.40923076923076923,0.3551401869158879,0.8911445106220388,107.0,69.0,False,business_fractional,False,-1.2975783295894994,0.0006733954961220396
VISTAJET::C56X,VISTAJET,VistaJet,C56X,NA,regional,1574,3,357,1546,2025-01-01,2025-12-30,0.016850291639662993,1543,1392.0,0.01619168095910728,364,4.324175824175824,ok,0.6043956043956044,0.21909090909090911,0.9729523630605749,1100.0,859.0,False,business_fractional,False,-1.5394434640000172,0.15477481931690643
VISTAJET::CL35,VISTAJET,VistaJet,CL35,NA,short,13827,25,364,13722,2025-01-01,2025-12-30,0.02113451236515741,13627,12238.0,0.11201033353791912,364,37.98626373626374,ok,0.6730769230769231,0.40888974408312484,0.9235284524039801,5197.0,3072.0,False,business_fractional,False,-0.8775602914319718,0.5135972963784429
VISTAJET::CL60,VISTAJET,VistaJet,CL60,NA,short,6848,17,364,6615,2025-01-01,2025-12-30,0.026853829722306988,6554,5967.0,0.07559033324110098,364,18.813186813186814,ok,0.5467032967032966,0.2946655376799323,0.9471376668938946,3543.0,2499.0,False,business_fractional,False,-1.3393804757350807,0.4734686974155425
VISTAJET::CRJ2,VISTAJET,VistaJet,CRJ2,NA,short,2851,6,364,2826,2025-01-01,2025-12-30,0.02454642475987193,2811,2509.0,0.013332692272639779,364,7.832417582417582,ok,0.5494505494505495,0.32461734693877553,0.9523586971607829,1568.0,1059.0,False,business_fractional,False,-1.4313295893878488,0.03864233446857343
VISTAJET::FA7X,VISTAJET,VistaJet,FA7X,NA,short,226,1,120,225,2025-05-29,2025-12-30,0.0,225,218.0,0.015426737670991453,216,1.0462962962962963,ok,0.5555555555555556,0.1333333333333333,0.9900339822129954,195.0,169.0,True,business_fractional,False,-1.785515900993984,0.276699463439748
VISTAJET (GERMANY)::C56X,VISTAJET (GERMANY),VistaJet (Germany),C56X,NA,short,92,6,36,64,2025-02-10,2025-12-05,0.0,64,64.0,0.0,299,0.3076923076923077,ok,0.03177257525083612,0.05747126436781613,0.9956421793883924,87.0,82.0,True,,True,-2.719839249433085,0.5201716314164794
VISTAJET (GERMANY)::E190,VISTAJET (GERMANY),VistaJet (Germany),E190,NA,medium,18,1,12,11,2025-01-27,2025-11-03,0.0,11,11.0,0.0,281,0.06405693950177936,ok,0.042704626334519574,0.05882352941176472,0.9929910186265145,17.0,16.0,True,,True,-2.7014942463473637,0.5132957018370254
VISTAJET (GERMANY)::E35L,VISTAJET (GERMANY),VistaJet (Germany),E35L,NA,short,295,13,86,201,2025-01-16,2025-11-28,0.0,193,190.0,0.0,317,0.9305993690851735,ok,0.04100946372239748,0.16956521739130437,0.9815625076376546,230.0,191.0,True,,False,-2.5101794247959344,0.38505755152181786
VISTAJET (GERMANY)::FA7X,VISTAJET (GERMANY),VistaJet (Germany),FA7X,NA,medium,19,2,10,18,2025-07-17,2025-11-04,0.0,18,18.0,0.0,111,0.17117117117117117,ok,0.06306306306306306,0.0,1.0000000000000002,18.0,18.0,True,,True,-2.774676050281161,0.5719795071379341
VISTAJET::GL7T,VISTAJET,VistaJet,GL7T,NA,medium,4055,16,364,3932,2025-01-01,2025-12-30,0.005638134290107637,3902,3711.0,0.05977320865319724,364,11.14010989010989,ok,0.47527472527472525,0.23818897637795278,0.9615881219838638,2540.0,1935.0,False,business_fractional,False,-1.6082612814192148,0.47657679872880926
VISTAJET::GLEX,VISTAJET,VistaJet,GLEX,NA,short,8206,27,364,7996,2025-01-01,2025-12-30,0.0011319330901773362,7951,7674.0,0.05314424045892596,364,22.543956043956044,ok,0.5357142857142857,0.27490621092121714,0.9585234415507569,4798.0,3479.0,False,business_fractional,False,-1.4772390274432479,0.362854632685839
VJC::A21N,VJC,VietJet Air,A21N,ge240,short,71995,29,1308,71993,2022-05-31,2025-12-28,0.988044977636584,71769,1543.0,0.007681264138812871,1308,55.04204892966361,ok,0.9333333333333333,0.8403041825095057,0.7383118468696612,263.0,42.0,False,lcc,False,1.3244333277717493,-0.9680008417092956
VJC::A320,VJC,VietJet Air,A320,180-239,short,93999,15,1308,93967,2022-05-31,2025-12-28,0.9918559657183059,93811,1418.0,0.012351676580223625,1308,71.86467889908256,ok,0.9197247706422018,0.8796296296296297,0.7202621673263355,216.0,26.0,False,lcc,False,1.3894201783356595,-0.9780247927637606
VJC::A321,VJC,VietJet Air,A321,180-239,short,211938,34,1308,211914,2022-05-31,2025-12-28,0.9930630432915717,209602,2103.0,0.0314111034909379,1308,162.0321100917431,ok,0.9373088685015291,0.851063829787234,0.7079274476768533,329.0,49.0,False,lcc,False,1.411235617307319,-0.8313310506752671
VJC::A333,VJC,VietJet Air,A333,ge240,short,20969,8,1308,20965,2022-05-31,2025-12-28,0.9807542768273717,20576,468.0,0.0551702162487272,1308,16.031345565749234,ok,0.8694784233775059,0.5126050420168067,0.5053045938756406,119.0,58.0,False,lcc,False,0.7585615353691882,-0.24938030050635346
VJC::NA,VJC,VietJet Air,NA,180-239,short,14,2,12,14,2024-12-28,2025-08-15,0.0,14,12.0,0.0037908752180469962,231,0.06060606060606061,ok,0.025974025974025972,0.625,0.9654305096819759,8.0,3.0,True,lcc,True,-1.7263226922160892,-0.11412664774666642
VJH::E35L,VJH,VistaJet (Germany),E35L,lt20,short,43,2,26,17,2025-03-29,2025-11-04,0.0,17,17.0,0.0,221,0.19457013574660634,ok,0.06334841628959276,0.16666666666666663,0.9832111364534377,36.0,30.0,True,,True,-2.482600479917843,0.3776053919887808
VLG::A321,VLG,Vueling,A321,180-239,short,1,1,1,1,2026-01-12,2026-01-12,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,lcc,True,,
VOE::A319,VOE,Volotea,A319,100-179,regional,1,1,1,1,2026-01-12,2026-01-12,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
VOI::A320,VOI,Volaris,A320,180-239,short,3174,1,583,3171,2024-05-08,2026-01-31,0.7947019867549668,3171,648.0,0.0,634,5.006309148264984,ok,0.919558359621451,0.9652777777777778,0.9228984619632931,144.0,5.0,False,,False,1.243119009273918,-1.119413303365987
